ReferenceTime,CameraFrameNumber,CameraFrameTime,Background,Fiber_0,Fiber_1,Fiber_2,Fiber_3
933026.072192,38984,672208179852320,256.609523809524,510.540478905359,462.230330672748,272.373604060914,271.287920072661
933026.172224,38985,672208279886408,258.234920634921,519.370581527936,454.567844925884,270.879187817259,271.927338782925
933026.272256,38986,672208379916320,257.015873015873,513.313568985177,457.924743443558,275.68730964467,270.99727520436
933026.372288,38987,672208479947296,257.015873015873,535.352337514253,441.797035347777,271.009137055838,269.079019073569
933026.47232,38988,672208579980272,256.812698412698,503.899657924743,443.183580387685,273.283248730964,270.706630336058
933026.572352,38989,672208680012864,257.219047619048,517.546180159635,434.937286202965,271.983756345178,270.532243415077
933026.672384,38990,672208780045320,257.219047619048,526.376282782212,437.126567844926,273.478172588832,274.368755676658
933026.772416,38991,672208880081296,257.422222222222,497.550741163056,435.667046750285,272.113705583756,271.11353315168
933026.872448,38992,672208980111240,258.438095238095,522.800456100342,435.010262257697,271.78883248731,273.380563124432
933026.97248,38993,672209080146240,257.219047619048,547.466362599772,441.57810718358,272.69847715736,271.11353315168
933027.072512,38994,672209180177968,257.015873015873,552.428734321551,436.980615735462,271.593908629442,272.97366030881
933027.172544,38995,672209280208216,257.625396825397,566.805017103763,438.877993158495,272.76345177665,270.822888283379
933027.272576,38996,672209380244216,257.219047619048,543.160775370582,442.526795895097,271.983756345178,271.229791099001
933027.372608,38997,672209480274296,257.625396825397,547.612314709236,445.15393386545,273.283248730964,270.474114441417
933027.47264,38998,672209580309320,257.422222222222,532.433295324971,449.970353477765,271.78883248731,270.532243415077
933027.572704,38999,672209680342352,257.625396825397,529.14937286203,438.513112884835,272.69847715736,270.067211625795
933027.672736,39000,672209780375352,257.015873015873,516.30558722919,455.297605473204,273.153299492386,269.660308810173
933027.772768,39001,672209880408352,257.219047619048,521.632839224629,435.302166476625,271.72385786802,271.171662125341
933027.8728,39002,672209980439320,257.625396825397,513.459521094641,426.763968072976,271.528934010152,270.299727520436
933027.972832,39003,672210080469592,258.031746031746,512.145952109464,442.526795895097,270.684263959391,270.99727520436
933028.072864,39004,672210180504456,257.625396825397,537.468643101482,435.521094640821,272.308629441624,272.683015440509
933028.172896,39005,672210280535352,257.625396825397,532.287343215507,439.534777651083,273.997969543147,271.404178019982
933028.272928,39006,672210380568320,256.812698412698,526.449258836944,433.769669327252,270.034517766497,272.508628519528
933028.37296,39007,672210480601240,256.812698412698,537.833523375143,432.529076396807,270.554314720812,270.822888283379
933028.472992,39008,672210580634488,257.422222222222,538.855188141391,448.291904218928,274.387817258883,270.706630336058
933028.573024,39009,672210680665296,257.422222222222,529.14937286203,436.761687571266,274.387817258883,268.904632152589
933028.673056,39010,672210780696296,256.812698412698,529.87913340935,439.972633979476,273.283248730964,271.171662125341
933028.773088,39011,672210880728272,257.625396825397,520.173318129989,433.550741163056,272.633502538071,271.229791099001
933028.87312,39012,672210980764080,256.812698412698,517.911060433295,432.9669327252,273.413197969543,270.939146230699
